Project ID,Project Name,Project Type,Implementing Agency,State,District,Land Area (ha),Affected Families,Notification Date,Expected Completion,Actual Completion,Current Stage,Delayed (Y/N),Delay (days),Compensation Sanctioned,Compensation Disbursed,Open Disputes,R&R Progress %,Stakeholder Updates (90d),Legal Dispute Count
SYN0146,State Highway Widening Bhopal Sec 146,highway,NHAI,Madhya Pradesh,Bhopal,24.5,362,2021-08-01,2023-08-21,2023-07-24,completed,N,0,44732821,37065615,0,72.6,4,1
SYN0147,Lift Irrigation Scheme Pune-147,irrigation,State Irrigation Dept,Maharashtra,Pune,42.1,258,2023-12-25,2026-08-11,2028-04-09,completed,Y,607,49107218,22942892,0,52.5,0,0
SYN0148,Urban Flyover Vadodara 148,urban,BBMP,Gujarat,Vadodara,19.6,96,2019-07-03,2021-03-24,,completed,,,78478746,19745252,0,74.0,7,0
SYN0149,State Highway Widening Suryapet Sec 149,highway,MORTH,Telangana,Suryapet,55.3,381,2021-06-24,2022-12-16,2023-06-09,completed,Y,175,135005977,74509799,0,62.9,1,0
SYN0150,BRTS Corridor Hubballi-150,urban,GHMC,Karnataka,Hubballi,15.7,196,2023-02-08,2024-08-01,2024-07-04,completed,N,0,33656687,24828538,0,80.0,7,2
SYN0151,Rail Electrification Project Khammam-151,railway,DFCCIL,Telangana,Khammam,196.0,419,2018-04-16,2021-05-30,2022-08-27,completed,Y,454,259636061,75112712,0,47.1,1,1
SYN0152,Urban Flyover Guntur 152,urban,JNURM,Andhra Pradesh,Guntur,26.3,180,2018-05-07,2019-03-03,,completed,,,77875450,8955677,7,89.0,7,7
SYN0153,Lift Irrigation Scheme Thane-153,irrigation,State PWD,Maharashtra,Thane,195.8,705,2018-09-07,2020-11-25,2020-11-26,completed,Y,1,141241797,60239626,0,16.6,0,0
SYN0154,NH Extension Package 154,highway,State PWD,Gujarat,Surat,87.9,389,2020-11-24,2023-08-11,,completed,,,76979875,11292948,0,96.9,8,0
SYN0155,Industrial Park Solapur 155,industrial,MIDC,Maharashtra,Solapur,114.3,184,2023-02-25,2024-02-20,2024-02-18,completed,N,0,208536076,175086889,0,81.7,8,0
SYN0156,Irrigation Canal Hubballi 156,irrigation,State Irrigation Dept,Karnataka,Hubballi,27.6,52,2022-11-24,2024-12-13,2026-03-22,completed,Y,464,79680998,62063529,0,92.4,2,1
SYN0157,Special Economic Zone Rajkot-157,industrial,RIICO,Gujarat,Rajkot,41.5,394,2021-12-11,2023-08-03,,completed,,,88150853,34537504,1,42.1,5,1
SYN0158,4-Lane Highway Ujjain-158,highway,State PWD,Madhya Pradesh,Ujjain,96.3,348,2018-09-15,2019-09-10,2020-03-18,completed,Y,190,145919373,125563620,0,54.5,0,0
SYN0159,4-Lane Highway Ahmedabad-159,highway,NHAI,Gujarat,Ahmedabad,103.4,187,2023-12-01,2025-09-21,2026-02-12,completed,Y,144,39534301,15924416,0,55.4,2,1
SYN0160,Bypass Road Project 160 (Khammam),highway,MORTH,Telangana,Khammam,24.7,231,2023-06-15,2026-04-30,2026-04-17,completed,N,0,101054370,95789437,0,91.1,8,0
SYN0161,Rail Electrification Project Anand-161,railway,DFCCIL,Gujarat,Anand,125.2,209,2020-04-03,2024-03-13,2024-11-01,completed,Y,233,101069653,63714309,0,68.0,1,2
SYN0162,Freight Corridor Extension 162,railway,Indian Railways,Rajasthan,Jodhpur,58.7,385,2024-11-10,2028-06-22,,legal_resolution,,,216235646,150716245,1,8.4,0,1
SYN0163,Canal Network Expansion 163,irrigation,State PWD,Rajasthan,Udaipur,244.1,183,2024-08-18,2028-12-25,2028-12-26,completed,Y,1,157287199,79477222,1,68.1,1,1
SYN0164,Lift Irrigation Scheme SPSR Nellore-164,irrigation,Central Water Commission,Andhra Pradesh,SPSR Nellore,245.7,134,2024-02-01,2025-11-22,2025-11-12,completed,N,0,28892894,26471669,0,80.3,6,1
SYN0165,Rail Electrification Project Bharuch-165,railway,Indian Railways,Gujarat,Bharuch,70.4,202,2023-07-06,2025-11-22,2025-11-15,completed,N,0,197710736,124854330,0,82.2,5,0
SYN0166,Bypass Road Project 166 (Alwar),highway,NHAI,Rajasthan,Alwar,97.4,225,2019-11-26,2022-03-15,2022-08-15,completed,Y,153,83955082,4197754,8,59.2,1,8
SYN0167,Freight Corridor Extension 167,railway,DFCCIL,Maharashtra,Pune,158.0,288,2018-05-02,2021-11-12,,completed,,,39038958,7214399,1,72.2,8,1
SYN0168,Manufacturing Hub 168 Khammam,industrial,KIADB,Telangana,Khammam,145.6,352,2020-03-06,2021-09-27,2021-08-28,completed,N,0,235707519,235707519,0,100.0,8,2
SYN0169,Ring Road Project 169,urban,NMMC,Madhya Pradesh,Ratlam,27.3,20,2021-01-03,2021-10-30,2021-10-05,completed,N,0,17396507,14343420,0,49.1,8,0
SYN0170,Special Economic Zone Hyderabad-170,industrial,MIDC,Telangana,Hyderabad,146.8,389,2024-02-28,2026-06-17,,completed,,,58392225,13079858,6,89.7,3,6
SYN0171,Special Economic Zone Bharuch-171,industrial,RIICO,Gujarat,Bharuch,51.6,207,2023-09-23,2025-08-13,2026-01-12,completed,Y,152,87529150,71975220,1,55.4,2,1
SYN0172,NH Extension Package 172,highway,NHAI,Karnataka,Kalaburagi,45.1,355,2021-03-11,2024-01-25,2025-01-16,completed,Y,357,107800043,19986128,0,23.0,0,0
SYN0173,4-Lane Highway Agra-173,highway,State PWD,Uttar Pradesh,Agra,56.2,115,2024-02-24,2025-02-18,2025-06-15,completed,Y,117,59913323,22916846,0,52.4,2,0
SYN0174,Irrigation Canal Varanasi 174,irrigation,State Irrigation Dept,Uttar Pradesh,Varanasi,112.4,424,2024-01-10,2025-08-02,2025-12-18,completed,Y,138,188657658,127891026,4,52.5,1,4
SYN0175,Manufacturing Hub 175 Vadodara,industrial,KIADB,Gujarat,Vadodara,145.5,419,2019-01-04,2020-10-25,2020-10-04,completed,N,0,126978768,112122252,0,86.8,6,0
SYN0176,Lift Irrigation Scheme Gwalior-176,irrigation,State PWD,Madhya Pradesh,Gwalior,151.9,139,2018-07-03,2021-06-17,,completed,,,38312277,8961242,1,88.0,8,1
SYN0177,4-Lane Highway Bharuch-177,highway,State PWD,Gujarat,Bharuch,50.6,258,2018-11-18,2020-11-07,2021-03-06,completed,Y,119,43193117,27103681,1,33.0,2,3
SYN0178,Canal Network Expansion 178,irrigation,Central Water Commission,Andhra Pradesh,Chittoor,163.9,588,2024-10-08,2029-02-14,2029-01-27,completed,N,0,176922505,147181832,0,82.9,8,0
SYN0179,Special Economic Zone Nagpur-179,industrial,GIDC,Maharashtra,Nagpur,197.9,272,2019-04-26,2020-10-17,2020-10-13,completed,N,0,336961085,292111565,0,100.0,8,0
SYN0180,4-Lane Highway Junagadh-180,highway,State PWD,Gujarat,Junagadh,87.0,330,2024-05-17,2026-07-06,,completed,,,65841106,11653876,0,86.4,6,0
SYN0181,Irrigation Canal Krishna 181,irrigation,Central Water Commission,Andhra Pradesh,Krishna,90.3,710,2024-05-28,2028-09-04,,legal_resolution,,,123747620,81190813,3,11.5,0,3
SYN0182,Lift Irrigation Scheme Ahmedabad-182,irrigation,State Irrigation Dept,Gujarat,Ahmedabad,20.8,350,2023-04-02,2027-03-12,,legal_resolution,,,169355081,117041296,3,0.5,0,3
SYN0183,Bypass Road Project 183 (Sagar),highway,State PWD,Madhya Pradesh,Sagar,54.8,278,2022-11-03,2024-04-26,2024-03-31,completed,N,0,13149844,11721771,0,76.7,7,3
SYN0184,Irrigation Canal Nanded 184,irrigation,Central Water Commission,Maharashtra,Nanded,145.1,409,2019-04-27,2021-10-13,,completed,,,58425612,19239554,0,66.1,7,0
SYN0185,Metro Extension 185 Khammam,urban,NMMC,Telangana,Khammam,18.5,86,2022-08-06,2024-06-26,2024-06-17,completed,N,0,7607797,7607797,0,91.0,8,1
SYN0186,BRTS Corridor Kanpur-186,urban,GHMC,Uttar Pradesh,Kanpur,24.8,53,2023-07-17,2024-05-12,,completed,,,62108485,22619910,4,82.6,8,4
SYN0187,BRTS Corridor Alwar-187,urban,BBMP,Rajasthan,Alwar,31.9,169,2021-05-07,2022-09-29,2022-09-08,completed,N,0,96816118,93137106,0,65.7,6,1
SYN0188,Irrigation Canal Jodhpur 188,irrigation,State Irrigation Dept,Rajasthan,Jodhpur,217.7,707,2020-05-21,2023-07-05,,completed,,,34236213,9627223,0,50.0,8,0
SYN0189,Industrial Corridor Phase 189,industrial,MIDC,Gujarat,Anand,152.6,348,2023-08-10,2025-04-01,,completed,,,237376125,80470506,0,100.0,3,0
SYN0190,Lift Irrigation Scheme Sagar-190,irrigation,Central Water Commission,Madhya Pradesh,Sagar,42.8,171,2024-03-27,2029-03-01,,compensation,,,146411394,14641139,0,16.0,7,0
SYN0191,Special Economic Zone Kurnool-191,industrial,RIICO,Andhra Pradesh,Kurnool,103.5,110,2023-05-14,2025-03-04,2025-02-14,completed,N,0,240518981,187965584,0,70.3,3,1
SYN0192,Canal Network Expansion 192,irrigation,State Irrigation Dept,Gujarat,Junagadh,55.8,772,2018-03-05,2020-08-21,2021-12-17,completed,Y,483,69862742,46815023,0,53.5,0,7
SYN0193,Freight Corridor Extension 193,railway,RVNL,Uttar Pradesh,Varanasi,97.2,538,2021-02-05,2024-02-20,2024-11-15,completed,Y,269,67830133,30801663,0,57.4,2,0
SYN0194,4-Lane Highway Khammam-194,highway,NHAI,Telangana,Khammam,17.2,53,2020-03-04,2022-02-22,2022-06-18,completed,Y,116,110535627,34907151,0,44.7,1,0
SYN0195,Ring Road Project 195,urban,GHMC,Madhya Pradesh,Sagar,37.2,170,2024-07-01,2025-07-26,2026-02-12,completed,Y,201,72555459,38875215,5,36.3,1,5
SYN0196,Industrial Corridor Phase 196,industrial,APIIC,Telangana,Suryapet,118.5,292,2023-01-02,2024-03-27,2024-08-02,completed,Y,128,280581211,199100427,0,56.2,2,0
SYN0197,Irrigation Canal Kolhapur 197,irrigation,State PWD,Maharashtra,Kolhapur,236.7,575,2020-02-26,2022-02-15,2023-06-23,completed,Y,493,84902465,53318748,0,76.3,2,1
SYN0198,Urban Flyover Belagavi 198,urban,HMDA,Karnataka,Belagavi,47.6,150,2023-02-04,2024-12-25,2024-11-27,completed,N,0,29309750,27035313,0,100.0,4,1
SYN0199,NH Extension Package 199,highway,NHAI,Telangana,Warangal,20.4,53,2024-05-12,2027-01-27,2027-05-02,completed,Y,95,98843801,25570891,2,92.3,1,2
SYN0200,Special Economic Zone Chittoor-200,industrial,RIICO,Andhra Pradesh,Chittoor,173.1,459,2018-07-13,2020-08-31,2020-08-26,completed,N,0,62961491,54537244,0,77.1,8,0
SYN0201,Bypass Road Project 201 (Botad),highway,State PWD,Gujarat,Botad,85.3,96,2019-10-13,2022-09-27,2022-08-30,completed,N,0,64636218,62671277,0,85.3,4,0
SYN0202,NH Extension Package 202,highway,MORTH,Uttar Pradesh,Allahabad,80.6,106,2021-11-24,2023-06-17,2023-11-04,completed,Y,140,148229786,115248659,0,64.7,2,1
SYN0203,Manufacturing Hub 203 Gwalior,industrial,APIIC,Madhya Pradesh,Gwalior,135.8,256,2020-04-11,2021-12-02,2022-02-24,completed,Y,84,188791773,74629388,0,51.2,1,0
SYN0204,Rail Electrification Project Bhopal-204,railway,Indian Railways,Madhya Pradesh,Bhopal,128.8,361,2021-01-18,2023-12-04,2023-11-14,completed,N,0,204727568,202373201,0,77.6,2,0
SYN0205,Manufacturing Hub 205 Sagar,industrial,KIADB,Madhya Pradesh,Sagar,59.9,224,2023-11-12,2025-12-31,2025-12-06,completed,N,0,130953754,91012859,0,78.8,2,2
SYN0206,Industrial Corridor Phase 206,industrial,GIDC,Madhya Pradesh,Gwalior,58.8,472,2020-10-07,2022-03-31,2022-03-28,completed,N,0,307716750,307716750,0,88.1,7,3
SYN0207,Dam & Reservoir Project 207,irrigation,Central Water Commission,Madhya Pradesh,Satna,181.8,560,2021-01-17,2022-10-09,2022-09-17,completed,N,0,117818105,102772733,0,74.2,5,0
SYN0208,Canal Network Expansion 208,irrigation,State Irrigation Dept,Karnataka,Vijayapura,144.1,176,2022-12-25,2025-09-10,2025-09-17,completed,Y,7,177855187,10297815,4,52.0,1,6
SYN0209,Industrial Park Kanpur 209,industrial,MIDC,Uttar Pradesh,Kanpur,192.5,307,2023-06-22,2024-10-14,,completed,,,262013425,49127517,1,57.4,6,1
SYN0210,Rail Electrification Project Junagadh-210,railway,DFCCIL,Gujarat,Junagadh,140.6,254,2024-01-17,2025-10-08,2025-09-29,completed,N,0,208183195,188613975,0,86.3,8,0
SYN0211,NH Extension Package 211,highway,State PWD,Telangana,Karimnagar,71.7,151,2022-11-24,2025-04-12,,completed,,,120540879,20913843,2,60.3,2,2
SYN0212,Urban Flyover Mehsana 212,urban,NMMC,Gujarat,Mehsana,43.8,77,2018-12-09,2020-01-03,2019-12-14,completed,N,0,39935406,28473944,0,69.0,3,2
SYN0213,Special Economic Zone Meerut-213,industrial,GIDC,Uttar Pradesh,Meerut,27.3,192,2023-02-06,2024-06-30,,completed,,,69425281,10455447,0,76.2,4,0
SYN0214,Metro Rail Phase 214 Pune,railway,Indian Railways,Maharashtra,Pune,74.2,416,2022-01-25,2025-12-05,2025-11-19,completed,N,0,73788984,66277265,0,87.2,6,2
SYN0215,State Highway Widening Surat Sec 215,highway,State PWD,Gujarat,Surat,92.8,301,2019-11-11,2021-09-01,2022-04-04,completed,Y,215,114059395,47425896,0,47.0,1,0
SYN0216,4-Lane Highway Lucknow-216,highway,MORTH,Uttar Pradesh,Lucknow,110.2,221,2021-02-13,2022-10-06,2023-05-05,completed,Y,211,75586683,29335192,0,82.8,2,0
SYN0217,NH Extension Package 217,highway,MORTH,Andhra Pradesh,Vishakhapatnam,85.4,83,2023-02-07,2025-10-24,2025-09-26,completed,N,0,146552469,132967055,0,60.6,2,0
SYN0218,Industrial Park Pune 218,industrial,GIDC,Maharashtra,Pune,32.7,470,2018-02-03,2019-02-28,2019-06-28,completed,Y,120,167452389,53551274,0,39.4,1,0
SYN0219,Irrigation Canal Suryapet 219,irrigation,State PWD,Telangana,Suryapet,100.9,128,2023-02-12,2027-03-23,2027-03-11,completed,N,0,82047085,66261226,0,67.6,6,2
SYN0220,State Highway Widening Junagadh Sec 220,highway,State PWD,Gujarat,Junagadh,70.9,314,2020-11-26,2023-10-12,2024-03-11,completed,Y,151,88044196,23076384,0,70.6,1,4
SYN0221,State Highway Widening Belagavi Sec 221,highway,State PWD,Karnataka,Belagavi,29.9,320,2019-03-08,2021-09-23,,completed,,,128451220,77070732,0,62.1,5,0
SYN0222,Irrigation Canal Anantapur 222,irrigation,Central Water Commission,Andhra Pradesh,Anantapur,51.5,711,2020-02-07,2024-08-14,2024-08-30,completed,Y,16,18612733,10575755,0,76.6,2,0
SYN0223,Lift Irrigation Scheme Raigad-223,irrigation,Central Water Commission,Maharashtra,Raigad,78.1,797,2024-06-14,2026-10-02,2027-05-05,completed,Y,215,75099770,29701959,0,38.8,1,0
SYN0224,Rail Corridor Sikar Segment 224,railway,RVNL,Rajasthan,Sikar,45.2,251,2019-11-20,2021-07-12,,completed,,,267037391,80832218,3,84.7,2,3
SYN0225,Manufacturing Hub 225 Suryapet,industrial,KIADB,Telangana,Suryapet,199.8,291,2024-10-07,2025-11-01,2026-01-29,completed,Y,89,169149371,119740840,1,38.2,0,1
SYN0226,Rail Corridor West Godavari Segment 226,railway,DFCCIL,Andhra Pradesh,West Godavari,49.9,576,2023-04-28,2027-04-07,,legal_resolution,,,56174501,14818833,1,5.8,0,1
SYN0227,Special Economic Zone Sagar-227,industrial,APIIC,Madhya Pradesh,Sagar,140.3,315,2024-08-08,2025-10-02,2025-11-18,completed,Y,47,198476207,82347778,0,56.7,0,0
SYN0228,Special Economic Zone Ajmer-228,industrial,KIADB,Rajasthan,Ajmer,34.0,178,2021-11-13,2023-10-04,2023-09-18,completed,N,0,174220037,161205800,0,69.4,8,3
SYN0229,Rail Electrification Project Sangareddy-229,railway,Indian Railways,Telangana,Sangareddy,53.6,420,2019-04-03,2022-01-17,2021-12-27,completed,N,0,76800436,73098655,0,59.8,5,0
SYN0230,Dam & Reservoir Project 230,irrigation,Central Water Commission,Madhya Pradesh,Jabalpur,60.9,684,2023-07-01,2026-03-17,2026-03-13,completed,N,0,15902841,13932479,0,91.4,5,1
SYN0231,Dam & Reservoir Project 231,irrigation,State PWD,Telangana,Medak,186.2,636,2021-10-16,2025-09-25,2026-06-19,completed,Y,267,133631506,59840188,1,87.0,1,2
SYN0232,Canal Network Expansion 232,irrigation,State Irrigation Dept,Andhra Pradesh,Kurnool,210.0,193,2019-02-01,2021-07-20,2022-08-04,completed,Y,380,180813603,20757402,0,30.9,0,3
SYN0233,Rail Corridor Raigad Segment 233,railway,RVNL,Maharashtra,Raigad,27.8,592,2024-11-21,2027-06-09,2027-05-25,completed,N,0,238971120,182215479,0,95.6,7,0
SYN0234,BRTS Corridor West Godavari-234,urban,GHMC,Andhra Pradesh,West Godavari,21.6,68,2021-04-28,2022-03-24,2022-03-24,completed,N,0,59908779,53354759,0,83.2,7,3
SYN0235,NH Extension Package 235,highway,State PWD,Karnataka,Ballari,56.6,217,2019-07-21,2022-01-06,2021-12-25,completed,N,0,114470926,80175437,0,95.6,5,3
SYN0236,4-Lane Highway Ujjain-236,highway,State PWD,Madhya Pradesh,Ujjain,23.1,147,2024-12-13,2027-10-29,2028-12-08,completed,Y,406,28460292,15064033,2,74.7,2,3
SYN0237,Irrigation Canal Nalgonda 237,irrigation,State Irrigation Dept,Telangana,Nalgonda,40.1,309,2024-02-27,2026-05-17,2027-04-16,completed,Y,334,12362291,618115,1,93.3,2,1
SYN0238,Metro Extension 238 Nalgonda,urban,BBMP,Telangana,Nalgonda,11.3,173,2018-04-28,2019-12-19,,completed,,,71352725,5829518,1,67.1,4,1
SYN0239,4-Lane Highway Nalgonda-239,highway,NHAI,Telangana,Nalgonda,67.0,390,2024-07-12,2027-03-29,2027-10-25,completed,Y,210,46251599,33056018,1,16.1,1,1
SYN0240,Ring Road Project 240,urban,JNURM,Rajasthan,Kota,7.1,38,2021-07-19,2022-05-15,2022-10-04,completed,Y,142,16115855,5008808,0,53.7,2,0
SYN0241,Freight Corridor Extension 241,railway,DFCCIL,Gujarat,Botad,175.2,543,2024-06-25,2027-02-10,2027-02-11,completed,Y,1,193761921,157044037,1,53.9,1,3
SYN0242,Rail Corridor Vijayapura Segment 242,railway,RVNL,Karnataka,Vijayapura,167.8,127,2023-05-08,2025-07-26,2026-02-27,completed,Y,216,101023106,54188794,0,80.6,2,1
SYN0243,Dam & Reservoir Project 243,irrigation,Central Water Commission,Uttar Pradesh,Ghaziabad,86.2,673,2019-12-08,2022-09-23,2022-09-20,completed,N,0,184436685,147623123,0,62.2,6,0
SYN0244,4-Lane Highway Adilabad-244,highway,State PWD,Telangana,Adilabad,40.8,143,2021-10-28,2023-06-20,2023-12-24,completed,Y,187,81231639,4061582,0,77.0,2,8
SYN0245,Rail Electrification Project Amravati-245,railway,Indian Railways,Maharashtra,Amravati,38.1,420,2020-12-01,2022-05-25,2024-01-04,completed,Y,589,169083386,84558601,0,77.5,1,0
SYN0246,4-Lane Highway Rajkot-246,highway,State PWD,Gujarat,Rajkot,73.3,147,2020-07-09,2022-08-28,2022-08-03,completed,N,0,39191750,30295223,0,88.1,3,0
SYN0247,Special Economic Zone Amravati-247,industrial,APIIC,Maharashtra,Amravati,107.6,178,2021-08-05,2023-11-23,2023-11-11,completed,N,0,57610424,53191704,0,90.9,4,0
SYN0248,Metro Rail Phase 248 East Godavari,railway,RVNL,Andhra Pradesh,East Godavari,81.9,471,2020-06-12,2023-04-28,2023-03-29,completed,N,0,185617049,134757978,0,71.9,6,2
SYN0249,Bypass Road Project 249 (Bikaner),highway,State PWD,Rajasthan,Bikaner,79.5,104,2024-12-15,2026-02-08,2026-01-10,completed,N,0,53921305,41729698,0,67.7,8,0
SYN0250,Ring Road Project 250,urban,NMMC,Andhra Pradesh,Vishakhapatnam,21.0,133,2020-06-21,2021-08-15,,completed,,,94183134,23319744,1,63.8,5,1
SYN0251,Freight Corridor Extension 251,railway,Indian Railways,Maharashtra,Pune,91.5,147,2023-05-24,2026-09-05,,completed,,,264820383,57439541,0,81.0,5,0
SYN0252,Dam & Reservoir Project 252,irrigation,State Irrigation Dept,Andhra Pradesh,Krishna,141.3,169,2018-11-13,2021-11-27,2021-11-27,completed,N,0,11855221,8466999,0,100.0,8,2
SYN0253,Freight Corridor Extension 253,railway,DFCCIL,Rajasthan,Bharatpur,134.5,495,2023-09-06,2026-08-21,2027-02-28,completed,Y,191,99801785,32225996,0,75.4,1,1
SYN0254,Metro Rail Phase 254 Gandhinagar,railway,Indian Railways,Gujarat,Gandhinagar,71.6,597,2018-01-17,2021-08-29,,completed,,,277405635,114124678,0,76.4,2,0
SYN0255,Industrial Corridor Phase 255,industrial,MIDC,Rajasthan,Pali,65.0,416,2022-06-07,2024-06-26,,completed,,,168094843,27802887,0,90.1,5,0
SYN0256,Lift Irrigation Scheme Ajmer-256,irrigation,Central Water Commission,Rajasthan,Ajmer,196.5,672,2021-04-28,2023-02-17,2023-02-02,completed,N,0,41618941,38206188,0,82.6,6,0
SYN0257,State Highway Widening Anantapur Sec 257,highway,State PWD,Andhra Pradesh,Anantapur,64.3,205,2023-08-24,2024-08-18,2024-08-03,completed,N,0,149704700,100751263,0,88.0,4,0
SYN0258,Bypass Road Project 258 (Pune),highway,State PWD,Maharashtra,Pune,99.9,36,2018-09-16,2020-02-08,2020-02-01,completed,N,0,60795695,58929267,0,80.2,2,2
SYN0259,State Highway Widening Prakasam Sec 259,highway,MORTH,Andhra Pradesh,Prakasam,90.1,311,2021-07-22,2023-04-13,,completed,,,41730347,7745152,0,74.4,2,0
SYN0260,Manufacturing Hub 260 Agra,industrial,MIDC,Uttar Pradesh,Agra,63.8,71,2020-01-06,2021-08-28,2021-08-06,completed,N,0,246560668,208121860,0,86.7,3,0
SYN0261,Metro Rail Phase 261 Bangalore Urban,railway,Indian Railways,Karnataka,Bangalore Urban,61.9,405,2023-03-23,2026-02-05,,completed,,,137228480,45340290,0,100.0,4,0
SYN0262,Manufacturing Hub 262 Jaipur,industrial,GIDC,Rajasthan,Jaipur,82.6,424,2022-05-18,2024-08-05,2024-07-17,completed,N,0,367500121,307707851,0,80.1,3,0
SYN0263,Rail Electrification Project Bharatpur-263,railway,DFCCIL,Rajasthan,Bharatpur,131.6,422,2018-11-17,2021-05-05,,completed,,,79248102,16657951,3,60.4,6,3
SYN0264,Special Economic Zone Mathura-264,industrial,GIDC,Uttar Pradesh,Mathura,114.2,84,2022-05-11,2024-05-30,2024-05-25,completed,N,0,351927255,324125002,0,98.5,2,0
SYN0265,4-Lane Highway Bharuch-265,highway,MORTH,Gujarat,Bharuch,111.3,365,2018-06-08,2020-12-24,,completed,,,134016262,65158707,0,95.0,2,0
SYN0266,Rail Corridor Anand Segment 266,railway,RVNL,Gujarat,Anand,74.7,271,2024-10-09,2027-07-26,2028-04-16,completed,Y,265,220299861,74946013,0,52.4,2,0
SYN0267,Canal Network Expansion 267,irrigation,Central Water Commission,Maharashtra,Nanded,215.2,477,2023-02-25,2027-12-01,2028-09-19,completed,Y,293,40177325,12748265,0,65.5,2,1
SYN0268,BRTS Corridor Sagar-268,urban,NMMC,Madhya Pradesh,Sagar,17.5,81,2024-06-14,2026-04-05,2026-05-08,completed,Y,33,77742281,49024282,1,48.1,1,2
SYN0269,Urban Flyover Hyderabad 269,urban,NMMC,Telangana,Hyderabad,43.1,25,2022-03-10,2023-01-04,2022-12-09,completed,N,0,31215928,22962437,0,75.7,6,0
SYN0270,State Highway Widening Adilabad Sec 270,highway,State PWD,Telangana,Adilabad,43.0,322,2019-05-12,2021-10-28,2021-10-05,completed,N,0,16194227,13242019,0,97.4,5,0
SYN0271,Industrial Corridor Phase 271,industrial,RIICO,Andhra Pradesh,SPSR Nellore,80.2,500,2023-10-13,2024-12-06,,completed,,,178278251,80991809,3,59.6,3,3
SYN0272,Industrial Park Nizamabad 272,industrial,APIIC,Telangana,Nizamabad,145.6,128,2022-01-11,2024-05-30,2024-05-18,completed,N,0,388995293,343405045,0,62.4,2,0
SYN0273,State Highway Widening Alwar Sec 273,highway,NHAI,Rajasthan,Alwar,38.9,234,2020-02-16,2022-08-04,,completed,,,117204645,35759137,1,87.9,6,1
SYN0274,State Highway Widening Botad Sec 274,highway,NHAI,Gujarat,Botad,73.4,87,2019-02-09,2022-01-24,2022-12-07,completed,Y,317,55504639,19593138,0,79.2,1,1
SYN0275,State Highway Widening Kalaburagi Sec 275,highway,State PWD,Karnataka,Kalaburagi,93.4,73,2021-01-27,2022-08-20,2023-05-17,completed,Y,270,142596433,125085591,0,37.1,0,0
SYN0276,Rail Electrification Project Anantapur-276,railway,DFCCIL,Andhra Pradesh,Anantapur,114.2,314,2018-06-07,2021-10-19,2021-10-15,completed,N,0,211570632,174059159,0,69.3,7,0
SYN0277,Lift Irrigation Scheme Udaipur-277,irrigation,State PWD,Rajasthan,Udaipur,17.4,437,2019-12-20,2022-11-04,2024-02-05,completed,Y,458,183009412,75564586,1,62.4,2,1
SYN0278,Rail Corridor Junagadh Segment 278,railway,RVNL,Gujarat,Junagadh,110.1,518,2020-08-28,2023-09-12,2023-09-11,completed,N,0,81743721,63245117,0,79.5,5,0
SYN0279,Industrial Park Karimnagar 279,industrial,RIICO,Telangana,Karimnagar,66.4,248,2023-05-08,2025-08-25,2025-08-25,completed,N,0,378771945,364189225,0,78.6,4,0
SYN0280,Special Economic Zone Nagpur-280,industrial,GIDC,Maharashtra,Nagpur,129.0,279,2021-04-19,2022-08-12,2022-09-19,completed,Y,38,72659080,7156919,0,45.8,1,0
SYN0281,Dam & Reservoir Project 281,irrigation,State PWD,Maharashtra,Kolhapur,105.5,189,2020-02-18,2024-05-27,,completed,,,154259827,56011743,0,71.4,5,0
SYN0282,Rail Corridor Udaipur Segment 282,railway,Indian Railways,Rajasthan,Udaipur,129.0,286,2019-03-01,2022-08-12,,completed,,,76964590,23874416,1,83.0,8,1
SYN0283,Rail Electrification Project Sagar-283,railway,Indian Railways,Madhya Pradesh,Sagar,157.6,65,2021-08-05,2023-06-26,2023-06-19,completed,N,0,225286332,225286332,0,80.1,2,0
SYN0284,4-Lane Highway Morena-284,highway,State PWD,Madhya Pradesh,Morena,90.9,224,2024-08-08,2026-08-28,2027-08-11,completed,Y,348,141175174,33133813,0,44.2,2,0
SYN0285,Bypass Road Project 285 (Bhopal),highway,NHAI,Madhya Pradesh,Bhopal,15.4,179,2023-01-18,2025-01-07,2024-12-14,completed,N,0,125005046,94741324,0,85.8,6,1
SYN0286,Urban Flyover Amravati 286,urban,BBMP,Maharashtra,Amravati,8.5,125,2023-09-04,2024-08-29,,completed,,,7366651,147333,8,91.2,3,8
SYN0287,Special Economic Zone Anantapur-287,industrial,RIICO,Andhra Pradesh,Anantapur,85.3,318,2023-12-04,2025-01-27,2025-01-11,completed,N,0,252587563,242837683,0,98.0,2,0
SYN0288,Special Economic Zone Kalaburagi-288,industrial,MIDC,Karnataka,Kalaburagi,158.4,278,2024-03-06,2025-03-31,2025-04-01,completed,Y,1,361445927,179963927,0,54.6,0,0
SYN0289,Rail Electrification Project Ratlam-289,railway,Indian Railways,Madhya Pradesh,Ratlam,34.3,56,2019-04-19,2022-07-02,2022-06-13,completed,N,0,192304273,175939179,0,72.7,3,0
SYN0290,NH Extension Package 290,highway,NHAI,Karnataka,Bangalore Urban,15.4,243,2023-10-27,2026-05-14,2027-01-19,completed,Y,250,46235179,13815071,1,28.7,1,3
SYN0291,Industrial Park Bangalore Urban 291,industrial,APIIC,Karnataka,Bangalore Urban,31.7,291,2020-06-13,2021-08-07,,completed,,,283955387,63009700,2,100.0,6,2
